# Filename: $SCRIPT_DIR/un_re/resources/cfg_Enterprise_Naming_Standards.lst
#
# Current Cigna Standard abbreviations and alternate abbreviations.  
# Used by erwin for logical to physical name transformation.  
# This file was overhauled in 2015.  
# Abbreviations and alternates are assigned by the DMCoE.
#
# word                                                                                      | abbr               
# ----------------------------------------------------------------------------------------- | -------------------
prefix                                                                                      | PFX                
prevue                                                                                      | PREVUE             
priced                                                                                      | PRC                
pricer                                                                                      | PRCR               
profit                                                                                      | PRFT               
prompt                                                                                      | PRMPT              
proper                                                                                      | PROPR              
proton                                                                                      | PRTN               
pseudo                                                                                      | PSEUDO             
public                                                                                      | PUB                
quoted                                                                                      | QUOTE              
radius                                                                                      | RADIUS             
random                                                                                      | RNDM               
ranged                                                                                      | RNG                
ranges                                                                                      | RNG                
ranked                                                                                      | RANK               
rating                                                                                      | RT                 
rating                                                                                      | RTG                
reason                                                                                      | RSN                
rebate                                                                                      | RBT                
reboot                                                                                      | REBT               
record                                                                                      | RCD                
recoup                                                                                      | RECOUP             
redeem                                                                                      | RDEEM              
reduce                                                                                      | RDUC               
refill                                                                                      | REFLL              
refund                                                                                      | RFND               
refuse                                                                                      | RFS                
regard                                                                                      | REGD               
region                                                                                      | REGN               
rehire                                                                                      | REHIRE             
reject                                                                                      | RJCT               
relate                                                                                      | RELT               
remain                                                                                      | REM                
remark                                                                                      | RMK                
remind                                                                                      | REMND              
remind                                                                                      | RMND               
remove                                                                                      | REMV               
rename                                                                                      | RENM               
render                                                                                      | RNDR               
rental                                                                                      | RNTL               
repeat                                                                                      | REPT               
report                                                                                      | RPT                
reside                                                                                      | RSD                
result                                                                                      | RSLT               
retail                                                                                      | RETL               
retain                                                                                      | RTAN               
retake                                                                                      | RETAKE             
retire                                                                                      | RETR               
return                                                                                      | RETN               
retype                                                                                      | RTYPE              
review                                                                                      | REVW               
review                                                                                      | REV                
revise                                                                                      | REVS               
reward                                                                                      | RWD                
riding                                                                                      | RIDE               
rolled                                                                                      | ROLL               
roster                                                                                      | RSTR               
rounds                                                                                      | RND                
routed                                                                                      | RTED               
router                                                                                      | ROTR               
ruling                                                                                      | RULE               
runout                                                                                      | RNOUT              
salary                                                                                      | SAL                
sample                                                                                      | SMPL               
saving                                                                                      | SAVE               
scaled                                                                                      | SCALE              
schema                                                                                      | SCHEMA             
scheme                                                                                      | SCHM               
school                                                                                      | SCHL               
scored                                                                                      | SCORE              
screen                                                                                      | SCRN               
script                                                                                      | SCRPT              
sculpt                                                                                      | SCLPT              
search                                                                                      | SRCH               
second                                                                                      | SEC                
sector                                                                                      | SECTOR             
sector                                                                                      | SECTR              
secure                                                                                      | SECR               
sedate                                                                                      | SDT                
select                                                                                      | SELT               
select                                                                                      | SEL                
sender                                                                                      | SNDR               
senior                                                                                      | SNR                
sepsis                                                                                      | SEPSIS             
serial                                                                                      | SER                
series                                                                                      | SERIES             
server                                                                                      | SRVR               
settle                                                                                      | SETL               
severe                                                                                      | SEVR               
shadow                                                                                      | SHDW               
shared                                                                                      | SHARE              
signal                                                                                      | SGNL               
signed                                                                                      | SIGN               
signee                                                                                      | SIGNEE             
simple                                                                                      | SMPL               
single                                                                                      | SNGL               
siting                                                                                      | SITE               
sizing                                                                                      | SIZE               
smoker                                                                                      | SMOKER             
social                                                                                      | SOCIAL             
sorted                                                                                      | SRT                
source                                                                                      | SRC                
speech                                                                                      | SPCH               
spoken                                                                                      | SPKN               
spouse                                                                                      | SPS                
spread                                                                                      | SPRD               
stated                                                                                      | ST                 
static                                                                                      | STTC               
status                                                                                      | STAT               
stayed                                                                                      | STAY               
stored                                                                                      | STORED             
street                                                                                      | ST                 
stroke                                                                                      | STROKE             
submit                                                                                      | SBMT               
subset                                                                                      | SUBSET             
suffix                                                                                      | SFX                
sunday                                                                                      | SUN                
supply                                                                                      | SUPLY              
survey                                                                                      | SRVY               
switch                                                                                      | SWTCH              
switch                                                                                      | SW                 
symbol                                                                                      | SYMBL              
symbol                                                                                      | SYMB               
syntax                                                                                      | SYNTX              
system                                                                                      | SYS                
tables                                                                                      | TBLS               
taping                                                                                      | TAPE               
taping                                                                                      | TAPG               
target                                                                                      | TRGT               
tenant                                                                                      | TENANT             
tenure                                                                                      | TENURE             
ticker                                                                                      | TCKR               
tiring                                                                                      | TIRE               
towers                                                                                      | TWRS               
travel                                                                                      | TRVL               
triage                                                                                      | TRIAGE             
triple                                                                                      | TRPL               
truven                                                                                      | TRVN               
typing                                                                                      | TY                 
typing                                                                                      | TYPG               
unable                                                                                      | UNABLE             
unable                                                                                      | UNAB               
unique                                                                                      | UNQ                
unpaid                                                                                      | UNPD               
unused                                                                                      | UNUSD              
update                                                                                      | UPDT               
upload                                                                                      | UPLOAD             
urgent                                                                                      | URGNT              
valued                                                                                      | VAL                
vector                                                                                      | VCTR               
vendor                                                                                      | VENDR              
vendor                                                                                      | VNDR               
verbal                                                                                      | VRBL               
verify                                                                                      | VRFY               
versus                                                                                      | VS                 
vertex                                                                                      | VRTX               
viewed                                                                                      | VIEWED             
viewed                                                                                      | VIEWD              
vision                                                                                      | VSN                
voided                                                                                      | VOIDED             
volume                                                                                      | VOL                
waited                                                                                      | WAIT               
waived                                                                                      | WAIV               
waived                                                                                      | WVD                
waiver                                                                                      | WAIVR              
waiver                                                                                      | WVR                
wallet                                                                                      | WLT                
warned                                                                                      | WARN               
weekly                                                                                      | WKLY               
weight                                                                                      | WGHT               
widget                                                                                      | WIDGET             
window                                                                                      | WNDW               
within                                                                                      | WTHIN              
within                                                                                      | WITHIN             
womens                                                                                      | WMEN               
worked                                                                                      | WRK                
worker                                                                                      | WRKR               
yearly                                                                                      | YRLY               
abort                                                                                       | ABRT               
acted                                                                                       | ACT                
acute                                                                                       | ACUTE              
added                                                                                       | ADD                
admit                                                                                       | ADMT               
adult                                                                                       | ADULT              
adult                                                                                       | ADLT               
after                                                                                       | AFTR               
after                                                                                       | AFT                
agent                                                                                       | AGT                
aging                                                                                       | AGE                
agree                                                                                       | AGR                
alert                                                                                       | ALERT              
alert                                                                                       | ALRT               
alias                                                                                       | ALIAS              
align                                                                                       | ALGN               
allow                                                                                       | ALW                
alone                                                                                       | ALONE              
alter                                                                                       | ALTER              
apply                                                                                       | APPLY              
april                                                                                       | APR                
audit                                                                                       | AUD                
avoid                                                                                       | AVD                
aware                                                                                       | AWARE              
badge                                                                                       | BADGE              
based                                                                                       | BS                 
basic                                                                                       | BSC                
basis                                                                                       | BSS                
batch                                                                                       | BTCH               
begin                                                                                       | BEG                
birth                                                                                       | BRTH               
blank                                                                                       | BLNK               
blend                                                                                       | BLND               
blind                                                                                       | BLND               
block                                                                                       | BLK                
board                                                                                       | BRD                
board                                                                                       | BD                 
bonus                                                                                       | BONUS              
bonus                                                                                       | BON                
brand                                                                                       | BRND               
break                                                                                       | BRK                
brown                                                                                       | BRWN               
cared                                                                                       | CARE               
carry                                                                                       | CARY               
cause                                                                                       | CAUSE              
ceded                                                                                       | CED                
check                                                                                       | CHK                
child                                                                                       | CHLD               
cigna                                                                                       | CIGNA              
cigna                                                                                       | CIG                
claim                                                                                       | CLM                
class                                                                                       | CLSS               
clean                                                                                       | CLEAN              
close                                                                                       | CLS                
cobra                                                                                       | COBRA              
coded                                                                                       | CD                 
color                                                                                       | COLOR              
copay                                                                                       | COPAY              
copay                                                                                       | CPAY               
count                                                                                       | CNT                
cover                                                                                       | CVR                
cover                                                                                       | CVR                
cross                                                                                       | CROSS              
cycle                                                                                       | CYC                
daily                                                                                       | DLY                
death                                                                                       | DTH                
debit                                                                                       | DEBT               
defer                                                                                       | DEFR               
delay                                                                                       | DELAY              
donor                                                                                       | DONOR              
dunns                                                                                       | DUNNS              
early                                                                                       | EARLY              
ec ii                                                                                       | ECII               
email                                                                                       | EMAIL              
ended                                                                                       | END                
enter                                                                                       | ENTER              
entry                                                                                       | ENTRY              
error                                                                                       | ERR                
event                                                                                       | EVENT              
event                                                                                       | EVNT               
exist                                                                                       | EXST               
extra                                                                                       | EXTRA              
facts                                                                                       | FCT                
faxed                                                                                       | FAX                
fetal                                                                                       | FETAL              
fiche                                                                                       | FICHE              
field                                                                                       | FLD                
final                                                                                       | FNL                
first                                                                                       | FRST               
first                                                                                       | FST                
fixed                                                                                       | FX                 
focus                                                                                       | FOC                
force                                                                                       | FRC                
freed                                                                                       | FREE               
grade                                                                                       | GRADE              
grade                                                                                       | GRDE               
gross                                                                                       | GROSS              
gross                                                                                       | GRSS               
group                                                                                       | GRP                
guest                                                                                       | GST                
hired                                                                                       | HIRE               
hours                                                                                       | HRS                
image                                                                                       | IMG                
incur                                                                                       | INCR               
index                                                                                       | IDX                
infer                                                                                       | INFER              
input                                                                                       | INPT               
issue                                                                                       | ISS                
known                                                                                       | KNWN               
label                                                                                       | LBL                
large                                                                                       | LG                 
layer                                                                                       | LAYER              
legal                                                                                       | LGL                
level                                                                                       | LVL                
lever                                                                                       | LVR                
limit                                                                                       | LMT                
lived                                                                                       | LIVE               
lives                                                                                       | LIVE               
local                                                                                       | LOCAL              
local                                                                                       | LCL                
login                                                                                       | LOGN               
lower                                                                                       | LOWR               
lunch                                                                                       | LUNCH              
major                                                                                       | MAJ                
march                                                                                       | MAR                
match                                                                                       | MTCH               
media                                                                                       | MEDIA              
media                                                                                       | MDA                
minor                                                                                       | MINR               
model                                                                                       | MODEL              
model                                                                                       | MDL                
month                                                                                       | MTH                
motor                                                                                       | MOTR               
moved                                                                                       | MOVE               
named                                                                                       | NM                 
noted                                                                                       | NOTE               
notes                                                                                       | NOTES              
nulls                                                                                       | NULLS              
offer                                                                                       | OFFER              
opens                                                                                       | OPENS              
order                                                                                       | ORDR               
order                                                                                       | ORD                
organ                                                                                       | ORGAN              
other                                                                                       | OTHR               
other                                                                                       | OTH                
owned                                                                                       | OWN                
owner                                                                                       | OWNR               
panel                                                                                       | PNL                
party                                                                                       | PARTY              
payee                                                                                       | PAYEE              
payee                                                                                       | PY                 
payer                                                                                       | PAYER              
payer                                                                                       | PAYR               
phase                                                                                       | PHSE               
phone                                                                                       | PH                 
place                                                                                       | PLC                
plate                                                                                       | PLATE              
point                                                                                       | PNT                
price                                                                                       | PRC                
print                                                                                       | PRT                
prior                                                                                       | PRI                
prior                                                                                       | P                  
quilt                                                                                       | QLT                
quote                                                                                       | QUOTE              
range                                                                                       | RNG                
rated                                                                                       | RT                 
ratio                                                                                       | RTO                
ratio                                                                                       | R                  
react                                                                                       | REACT              
refer                                                                                       | REFR               
remit                                                                                       | REMIT              
renal                                                                                       | RENAL              
renal                                                                                       | RNL                
renew                                                                                       | RENW               
retro                                                                                       | RTR                
rider                                                                                       | RIDER              
round                                                                                       | RND                
route                                                                                       | RTE                
ruled                                                                                       | RULE               
sales                                                                                       | SALES              
sales                                                                                       | SLS                
saved                                                                                       | SAVE               
scale                                                                                       | SCALE              
scope                                                                                       | SCPE               
shift                                                                                       | SHFT               
shock                                                                                       | SHK                
short                                                                                       | SHRT               
sited                                                                                       | SITE               
sized                                                                                       | SIZE               
slate                                                                                       | SLTE               
small                                                                                       | SML                
spend                                                                                       | SPND               
spent                                                                                       | SPNT               
split                                                                                       | SPLT               
stage                                                                                       | STG                
stand                                                                                       | STAND              
state                                                                                       | ST                 
stick                                                                                       | STK                
stock                                                                                       | STOCK              
style                                                                                       | STYLE              
suite                                                                                       | SUITE              
table                                                                                       | TBL                
taken                                                                                       | TAKEN              
taped                                                                                       | TAPE               
tenth                                                                                       | 10TH               
tenth                                                                                       | TNTH               
thing                                                                                       | THNG               
third                                                                                       | THRD               
title                                                                                       | TITL               
title                                                                                       | TITL               
token                                                                                       | TKN                
tooth                                                                                       | TOOTH              
total                                                                                       | TOTL               
total                                                                                       | TTL                
track                                                                                       | TRCK               
trail                                                                                       | TRL                
